sections,page_path,title,type,color_number,description,external_id,ColorValue,WarmCool,color_hex,image,url,published_at,updated_at,color_name,Undertone,PrimaryColorFamily,popularity,info,highlight,id,Family,Shade,Interior/Exterior,cdp,Color Collection,Mood,Project,Style,Value,Color Family,language
"['Northampton Putty', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-89/northampton-putty,Northampton Putty HC-89 | Benjamin Moore,Color,HC-89,"A rich, warm neutral that is comforting yet sophisticated.",ff5c90bb37b8e8b1496009471d7d1985149f84f1,Medium,Warm,AC9C7C,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-192-northampton-putty-HC-89-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-89/northampton-putty,2024-07-21T23:21:01Z,2024-07-21T23:21:00Z,Northampton Putty,Yellow,Neutral,1,,"{'description': 'A rich, warm <em>neutral</em> that is comforting yet sophisticated.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242f5bc196a6750c0894e98,,,,,,,,,,,
"['Inner Balance', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1522/inner-balance,Inner Balance 1522 | Benjamin Moore,Color,1522,"A balanced neutral, this meditative hue is touched by a hint of green.",072022a2f65df3655c137330590e4f7dfd1f79f9,Medium,Warm,CDC7B3,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-195-inner-balance-1522-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1522/inner-balance,2024-07-22T03:24:39Z,2024-07-22T03:24:39Z,Inner Balance,,Neutral,1,,"{'description': 'A balanced <em>neutral</em>, this meditative hue is touched by a hint of green.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62428fdb28ccbc2d34dda802,,,,,,,,,,,
"['Proposal', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/af-260/proposal,Proposal AF-260 | Benjamin Moore,Color,AF-260,A pale wash of gray gives this pink the versatility of a neutral.,b2c234c1929cc23c8e2ea0b1b31d8838599f0bc9,Light,Warm,E8D9D4,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-020-proposal-AF-260-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/af-260/proposal,2024-07-21T23:08:25Z,2024-07-21T23:08:25Z,Proposal,Pink,Red,1,,{'description': 'A pale wash of gray gives this pink the versatility of a <em>neutral</em>.'},6242fa5be7b9d298e10f5c4a,,,,,,,,,,,
"['Space Black', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2119-10/space-black,Space Black 2119-10 | Benjamin Moore,Color,2119-10,A relatively neutral shade of black with a hint of softness.,1563f3253170551e3e25b27341f09bc0e205a8ce,Dark,Cool,333334,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-233-space-black-2119-10-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2119-10/space-black,2024-07-21T23:09:21Z,2024-07-21T23:09:21Z,Space Black,,Neutral,1,,"{'description': 'A relatively <em>neutral</em> shade of black with a hint of softness.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242b28a28ccbc715adda1ab,,,,,,,,,,,
"['Tucson Winds', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1024/tucson-winds,Tucson Winds 1024 | Benjamin Moore,Color,1024,"A light, warm neutral with the faintest touch of pale pink.",986932140587b76c8ae435de6ff5be3469d5d7b5,Light,Warm,DFD2C4,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-196-tucson-winds-1024-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1024/tucson-winds,2024-07-21T20:47:35Z,2024-07-21T20:47:35Z,Tucson Winds,Beige,Neutral,1,,"{'description': 'A light, warm <em>neutral</em> with the faintest touch of pale pink.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62426e1d196a67ac21895a43,,,,,,,,,,,
"['Wild Aster', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1240/wild-aster,Wild Aster 1240 | Benjamin Moore,Color,1240,A pale wash of gray gives this pink the versatility of a neutral.,b042c892fc854e1a0446b767cf56988950a68cc5,Light,Warm,E8D9D4,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-020-wild-aster-1240-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1240/wild-aster,2024-07-21T16:47:48Z,2024-07-21T16:47:48Z,Wild Aster,Pink,Red,1,,{'description': 'A pale wash of gray gives this pink the versatility of a <em>neutral</em>.'},6242546c64441f88cc004abd,,,,,,,,,,,
"['Crème Caramel', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/oc-84/creme-caramel,Crème Caramel OC-84 | Benjamin Moore,Color,OC-84,A creamy peach that is soft enough to work as a neutral.,2cbdb9275496c1178a833807d627ca8d1b89dea9,Light,Warm,F0E0C9,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-250-creme-caramel-OC-84-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/oc-84/creme-caramel,2024-07-21T20:24:02Z,2024-07-21T20:24:02Z,Crème Caramel,Peach,White,1,,{'description': 'A creamy peach that is soft enough to work as a <em>neutral</em>.'},6242f8e8196a670c308960d4,,,,,,,,,,,
"['Sterling Silver', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1461/sterling-silver,Sterling Silver 1461 | Benjamin Moore,Color,1461,A neutral mid-tone gray this is as appealing as it is versatile.,591e3c6ccc61e3c3b2fe7c5bca8cb49176ae846b,Medium,Cool,A09E9D,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-222-sterling-silver-1461-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1461/sterling-silver,2024-07-22T01:50:21Z,2024-07-22T01:50:21Z,Sterling Silver,Gray,Neutral,1,,"{'description': 'A <em>neutral</em> mid-tone gray this is as appealing as it is versatile.', 'PrimaryColorFamily': '<em>Neutral</em>'}",624271e064441f612300437e,,,,,,,,,,,
"['Gray Cardigan', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1600/gray-cardigan,Gray Cardigan 1600 | Benjamin Moore,Color,1600,This cool gray neutral evokes the silvery fur of a wolf.,46c82ec50c551cdfb19e3c78c1c455be54768a39,Medium,Cool,9A9F9E,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-220-gray-cardigan-1600-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1600/gray-cardigan,2024-07-22T01:49:32Z,2024-07-22T01:49:31Z,Gray Cardigan,Gray,Neutral,1,,"{'description': 'This cool gray <em>neutral</em> evokes the silvery fur of a wolf.', 'PrimaryColorFamily': '<em>Neutral</em>'}",65c1dc0a64441f3f338e6fe9,,,,,,,,,,,
"['Silver Bells', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1458/silver-bells,Silver Bells 1458 | Benjamin Moore,Color,1458,"A cool neutral, this elegant hue is illuminated by a touch of gray.",fc717946e43e8f3e76dae906f518a86d45b7bfd3,Light,Cool,DCD9D5,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-222-silver-bells-1458-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1458/silver-bells,2024-07-22T01:52:47Z,2024-07-22T01:52:47Z,Silver Bells,Gray,Neutral,1,,"{'description': 'A cool <em>neutral</em>, this elegant hue is illuminated by a touch of gray.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242612b28ccbca720dd9570,,,,,,,,,,,
"['Basking Ridge Beige', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1158/basking-ridge-beige,Basking Ridge Beige 1158 | Benjamin Moore,Color,1158,A hint of pink infuses this neutral with a warm undertone.,b8ff22cc332173356cbb4a3e896b6eea00768698,Light,Warm,E0C8B6,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-033-basking-ridge-beige-1158-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1158/basking-ridge-beige,2024-07-22T04:45:23Z,2024-07-22T04:45:22Z,Basking Ridge Beige,Pink,Neutral,1,,"{'description': 'A hint of pink infuses this <em>neutral</em> with a warm undertone.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62429a4c196a67b72d894f01,,,,,,,,,,,
"[""Nature's Symphony"", 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1152/natures-symphony,Nature's Symphony 1152 | Benjamin Moore,Color,1152,This versatile and balanced beige is a warm neutral with a tint of peach.,6ad0e6e5d00faae072edeefe2b878da62e910df0,Medium,Warm,D9BCA5,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-030-natures-symphony-1152-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1152/natures-symphony,2024-07-22T04:33:58Z,2024-07-22T04:33:58Z,Nature's Symphony,Peach,Neutral,1,,"{'description': 'This versatile and balanced beige is a warm <em>neutral</em> with a tint of peach.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62429d8128ccbc9d2dddb33a,,,,,,,,,,,
"['Wynwood', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1231/wynwood,Wynwood 1231 | Benjamin Moore,Color,1231,This deep and cozy neutral evokes the warmth of weathered wood.,a7117d07842d08166a4cef3101bf9081db5c1f1f,Dark,Warm,7C5B4E,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-038-wynwood-1231-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1231/wynwood,2024-07-22T04:35:32Z,2024-07-22T04:35:31Z,Wynwood,Brown,Neutral,1,,"{'description': 'This deep and cozy <em>neutral</em> evokes the warmth of weathered wood.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62429d2e28ccbc9d2dddb234,,,,,,,,,,,
"['Mosaic Tile', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1517/mosaic-tile,Mosaic Tile 1517 | Benjamin Moore,Color,1517,A gentle neutral that borders on green with a touch of gray.,65de838483af16ec2bf8d341255c6c56b0cba211,,,B9B396,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-205-mosaic-tile-1517-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1517/mosaic-tile,2024-07-30T13:37:39Z,2024-07-30T13:37:39Z,Mosaic Tile,,,1,,"{'description': 'A gentle <em>neutral</em> that borders on green with a touch of gray.', 'Family': '<em>Neutral</em>'}",6242adaf64441f62780061c8,Neutral,Medium,"['Interior', 'Exterior']",true,Benjamin Moore Classics&reg;,"['Calming', 'Chaming', 'Moody']","['Bedroom', 'Cabinet', 'Kitchen', 'Living Room']",Art Deco,,,
"['Gingersnaps', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1063/gingersnaps,Gingersnaps 1063 | Benjamin Moore,Color,1063,"With subtle notes of cinnamon, this sunbaked neutral balances and grounds.",d8c05d2f1b36527737661257f47887668dd042e3,,,AA855B,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-186-gingersnaps-1063-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1063/gingersnaps,2024-07-30T19:10:04Z,2024-07-30T19:10:04Z,Gingersnaps,,,1,,"{'description': 'With subtle notes of cinnamon, this sunbaked <em>neutral</em> balances and grounds.', 'Family': '<em>Neutral</em>'}",6242b782e7b9d28a720f4369,Neutral,Medium,"['Interior', 'Exterior']",true,Benjamin Moore Classics&reg;,,,,,,
"['Graytint', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1611/graytint,Graytint 1611 | Benjamin Moore,Color,1611,"A gentle hue, this soft neutral features a whisper of gray.",d7fc3326627c170e6b8c42e0e9ace026fc2585a9,,,D8D9D8,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-224-graytint-1611-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1611/graytint,2024-07-30T12:35:56Z,2024-07-30T12:35:55Z,Graytint,,,1,,"{'description': 'A gentle hue, this soft <em>neutral</em> features a whisper of gray.', 'Family': '<em>Neutral</em>'}",624276e964441f395c00616b,Neutral,Light,"['Interior', 'Exterior']",true,Benjamin Moore Classics&reg;,"['Calming', 'Chaming', 'Pale', 'Soft']","['Bathroom', 'Bedroom', 'Kitchen', 'Living Room', 'Trim']",Boho,,,
"['Crème Caramel', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/910/creme-caramel,Crème Caramel 910 | Benjamin Moore,Color,910,A creamy peach that is soft enough to work as a neutral.,ae1d9c2164529817dde2f357e01a7c3e3a844850,,,F0E0C9,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-250-creme-caramel-910-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/910/creme-caramel,2024-08-04T18:42:19Z,2024-07-03T18:34:59Z,Crème Caramel,,,1,,{'description': 'A creamy peach that is soft enough to work as a <em>neutral</em>.'},6241fe74196a67cfd9896373,,,"['Interior', 'Exterior']",true,Benjamin Moore Classics&reg;,,,,Light,White,
"['Battenberg', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/af-70/battenberg,Battenberg AF-70 | Benjamin Moore,Color,AF-70,"Warm, creamy tones give this understated neutral a welcoming quality.",f4d92d72a38347079a93dd752fd784f6710ee47f,Light,Warm,E9E5D0,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-257-battenberg-AF-70-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/af-70/battenberg,2024-07-21T23:06:27Z,2024-07-21T23:06:27Z,Battenberg,Cream,Neutral,1,,"{'description': 'Warm, creamy tones give this understated <em>neutral</em> a welcoming quality.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62428a7ae7b9d252060f5978,,,,,,,,,,,
"['Monterey White', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-27/monterey-white,Monterey White HC-27 | Benjamin Moore,Color,HC-27,"Warm, creamy tones give this understated neutral a welcoming quality.",f7659d4c8d0745a1a98159e6896518bb7487bfdb,Light,Warm,E9E5D0,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-257-monterey-white-HC-27-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-27/monterey-white,2024-07-21T23:52:17Z,2024-07-21T23:52:17Z,Monterey White,Cream,Neutral,1,,"{'description': 'Warm, creamy tones give this understated <em>neutral</em> a welcoming quality.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62427be1196a67af7d895146,,,,,,,,,,,
"['Northern Cliffs', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1536/northern-cliffs,Northern Cliffs 1536 | Benjamin Moore,Color,1536,"A soft mid-tone, this neutral gray offers endless versatility.",e6cd0ed81e0a59ee357cc7b88e3ff747b95bfa51,Medium,Cool,BAB5A7,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-184-northern-cliffs-1536-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1536/northern-cliffs,2024-07-21T23:38:33Z,2024-07-21T23:38:32Z,Northern Cliffs,Gray,Neutral,1,,"{'description': 'A soft mid-tone, this <em>neutral</em> gray offers endless versatility.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242817928ccbce9dddda910,,,,,,,,,,,
"['Black', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2132-10/black,Black 2132-10 | Benjamin Moore,Color,2132-10,"It doesn't get more classic than this dark, anchoring neutral.",ad2ac52d3900cfe1f2bfd25295dd4dfe4897c85c,Dark,Cool,313132,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-236-black-2132-10-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2132-10/black,2024-07-22T01:06:20Z,2024-07-22T01:06:19Z,Black,,Neutral,1,,"{'description': 'It doesn&#x27;t get more classic than this dark, anchoring <em>neutral</em>.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242ef8e28ccbc3a1add9d56,,,,,,,,,,,
"['Black', 'Matching Colors', 'Similar Colors', 'Color By Family', 'Discover This Color in Woodluxe Exterior Stains', 'Explore the Woodluxe Collection']",/en-us/paint-colors/color/hc-190/black,Black HC-190 | Benjamin Moore,Color,HC-190,"It doesn't get more classic than this dark, anchoring neutral.",415b1854cce7ba092315375a424ea5abd4e08ee4,Dark,Cool,313132,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-236-black-HC-190-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-190/black,2024-07-21T21:28:25Z,2024-07-21T21:28:24Z,Black,,Neutral,1,,"{'description': 'It doesn&#x27;t get more classic than this dark, anchoring <em>neutral</em>.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62431469e7b9d2016d0f42aa,,,,,,,,,,,
"['Dash of Pepper', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1554/dash-of-pepper,Dash of Pepper 1554 | Benjamin Moore,Color,1554,Spice up any space effortlessly with this warm neutral brown.,b91245838a29c0de4d211b255df4e04abc9e1c80,Dark,Warm,726859,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-201-dash-of-pepper-1554-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1554/dash-of-pepper,2024-07-21T20:15:24Z,2024-07-21T20:15:23Z,Dash of Pepper,Brown,Neutral,1,,"{'description': 'Spice up any space effortlessly with this warm <em>neutral</em> brown.', 'PrimaryColorFamily': '<em>Neutral</em>'}",624283df196a67fb418957d1,,,,,,,,,,,
"[""Wind's Breath"", 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/981/winds-breath,Wind's Breath 981 | Benjamin Moore,Color,981,"Warm gray undertones give this neutral a welcoming, relaxed quality.",f1e5b45365d24932af7be6de5353d0d05d1ad05c,Light,Warm,DFDBCD,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-191-winds-breath-981-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/981/winds-breath,2024-07-22T03:57:05Z,2024-07-22T03:57:05Z,Wind's Breath,Beige,White,1,,"{'description': 'Warm gray undertones give this <em>neutral</em> a welcoming, relaxed quality.'}",6242de9d196a67ff6d895b0f,,,,,,,,,,,
"['White Swan', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/927/white-swan,White Swan 927 | Benjamin Moore,Color,927,"Warm, creamy tones give this understated neutral a welcoming quality.",c8f0695bdc78e9dd549bd45d64bd2f82549d5501,Light,Warm,E9E5D0,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-257-white-swan-927-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/927/white-swan,2024-07-22T03:55:57Z,2024-07-22T03:55:55Z,White Swan,Cream,White,1,,"{'description': 'Warm, creamy tones give this understated <em>neutral</em> a welcoming quality.'}",6242ea5a64441fbfc9005c11,,,,,,,,,,,
"['Grand Teton White', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/oc-132/grand-teton-white,Grand Teton White OC-132 | Benjamin Moore,Color,OC-132,"Warm, creamy tones give this understated neutral a welcoming quality.",abd46e0b5e3b4e4de49f92110a81886dcb97399b,Light,Warm,E9E5D0,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-257-grand-teton-white-OC-132-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/oc-132/grand-teton-white,2024-07-22T03:19:14Z,2024-07-22T03:19:14Z,Grand Teton White,Cream,White,1,,"{'description': 'Warm, creamy tones give this understated <em>neutral</em> a welcoming quality.'}",6242a9ee28ccbc7f76dd9c82,,,,,,,,,,,
"['Winterwood', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1486/winterwood,Winterwood 1486 | Benjamin Moore,Color,1486,"This comfortable hue delicately balances between gray, green, and neutral.",f38b2933d4621d807081861e96b4e2baff02869e,Medium,Cool,C1BFB1,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-198-winterwood-1486-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1486/winterwood,2024-07-22T03:21:22Z,2024-07-22T03:21:21Z,Winterwood,,Neutral,1,,"{'description': 'This comfortable hue delicately balances between gray, green, and <em>neutral</em>.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242ce0e28ccbcb35bdda8dc,,,,,,,,,,,
"['Fox Hollow Brown', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1235/fox-hollow-brown,Fox Hollow Brown 1235 | Benjamin Moore,Color,1235,A warm brown undertone brings a comforting air to this mid-toned neutral.,a29fa9e0b750e5bfecd891037fa1d30b0642cf04,Dark,Warm,997968,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-202-fox-hollow-brown-1235-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1235/fox-hollow-brown,2024-07-22T03:01:27Z,2024-07-22T03:01:27Z,Fox Hollow Brown,Brown,Neutral,1,,"{'description': 'A warm brown undertone brings a comforting air to this mid-toned <em>neutral</em>.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242999b196a671e92895201,,,,,,,,,,,
"['Lancaster Whitewash', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-174/lancaster-whitewash,Lancaster Whitewash HC-174 | Benjamin Moore,Color,HC-174,A yellow-tinged neutral that can bring a soft glow to the room.,1e77d1446dd8281b423e69f5112d74dbb903b4e0,Light,Warm,E6E1CB,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-254-lancaster-whitewash-HC-174-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-174/lancaster-whitewash,2024-07-22T03:04:53Z,2024-07-22T03:04:52Z,Lancaster Whitewash,Yellow,Neutral,1,,"{'description': 'A yellow-tinged <em>neutral</em> that can bring a soft glow to the room.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242d440e7b9d28ceb0f3cf8,,,,,,,,,,,
"['Pelican Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1612/pelican-gray,Pelican Gray 1612 | Benjamin Moore,Color,1612,"This cool, pale, peaceful neutral adds a soothing quality to any space.",e7e68e377607f78f451b8aa3ffbb9894c5baeec5,Light,Cool,C6CBCC,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-224-pelican-gray-1612-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1612/pelican-gray,2024-07-22T03:07:50Z,2024-07-22T03:07:50Z,Pelican Gray,,Neutral,1,,"{'description': 'This cool, pale, peaceful <em>neutral</em> adds a soothing quality to any space.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62427dd1e7b9d22b3c0f44fe,,,,,,,,,,,
"['Equestrian Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1553/equestrian-gray,Equestrian Gray 1553 | Benjamin Moore,Color,1553,"Reminiscent of a horse's smooth coat, this warm neutral features hints of brown and gray.",86ffb17af97a84573fc75284dd1e5b83bed27842,Medium,Warm,908878,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-201-equestrian-gray-1553-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1553/equestrian-gray,2024-07-22T02:50:09Z,2024-07-22T02:50:09Z,Equestrian Gray,Brown,Neutral,1,,"{'description': 'Reminiscent of a horse&#x27;s smooth coat, this warm <em>neutral</em> features hints of brown and gray.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242f09ae7b9d229530f5fe1,,,,,,,,,,,
"['Delaware Putty', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/240/delaware-putty,Delaware Putty 240 | Benjamin Moore,Color,240,Warm undertones make this mix of khaki and stone a welcoming neutral.,3a656d799a03b3a92554a3fdac54033fef68745b,Light,Warm,DDD3B7,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-192-delaware-putty-240-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/240/delaware-putty,2024-07-22T04:27:56Z,2024-07-22T04:27:56Z,Delaware Putty,Beige,Neutral,1,,"{'description': 'Warm undertones make this mix of khaki and stone a welcoming <em>neutral</em>.', 'PrimaryColorFamily': '<em>Neutral</em>'}",6242907f28ccbcc818dda0d0,,,,,,,,,,,
"['Groundhog Day', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1166/groundhog-day,Groundhog Day 1166 | Benjamin Moore,Color,1166,"This warm neutral is softened by a touch of red, giving it a subtle pink glow.",d9a6f11098e9b33cb317171b9f0646746c1e9309,Medium,Warm,D8BAA5,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-041-groundhog-day-1166-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1166/groundhog-day,2024-07-22T04:29:32Z,2024-07-22T04:29:32Z,Groundhog Day,Pink,Neutral,1,,"{'description': 'This warm <em>neutral</em> is softened by a touch of red, giving it a subtle pink glow.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62429cd428ccbcc818ddc07c,,,,,,,,,,,
"['Ice Formations', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/973/ice-formations,Ice Formations 973 | Benjamin Moore,Color,973,An iconic neutral that provides a versatile bridge between warm and cool tones.,08803c6396e863b27e1b06201390f3d557a3d1ad,Medium,Warm,CBC6B8,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-251-ice-formations-973-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/973/ice-formations,2024-07-22T03:34:32Z,2024-07-22T03:34:31Z,Ice Formations,Gray,White,1,,{'description': 'An iconic <em>neutral</em> that provides a versatile bridge between warm and cool tones.'},6242690be7b9d27da80f4284,,,,,,,,,,,
"['River Gorge Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1537/river-gorge-gray,River Gorge Gray 1537 | Benjamin Moore,Color,1537,"This earthy, warm mid-tone neutral features notes of green and brown.",b2561c2a9d7ed62b9ce0faff6ad3a8af80cb19b8,Medium,Cool,A09A89,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-184-river-gorge-gray-1537-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1537/river-gorge-gray,2024-07-22T03:34:32Z,2024-07-22T03:34:31Z,River Gorge Gray,Brown,Neutral,1,,"{'description': 'This earthy, warm mid-tone <em>neutral</em> features notes of green and brown.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62f506e8196a67c4095bad97,,,,,,,,,,,
