,sections,page_path,title,type,description,external_id,image,url,published_at,updated_at,cdp,popularity,info,_index,_type,_score,_version,_explanation,sort,highlight,id,color_number,ColorValue,WarmCool,color_hex,color_name,Undertone,language,PrimaryColorFamily,Opacity,Interior/Exterior,Color Collection,Family,Shade,Mood,Project,Style,Value,Color Family,Tone,cleaned_name,is_color_description,is_poetry,writing_form,writing_type
1852,"['Tandoori', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-1105/tandoori,Tandoori CSP-1105 | Benjamin Moore,Color,"A roasted Indian delight, full of paprika, coriander and cumin, fresh from an ancient tandoor oven.",98615c49789929a2012802fffda07534cc61f7ee,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-024-tandoori-CSP-1105-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-1105/tandoori,2024-07-20T19:11:42Z,2024-07-20T19:11:41Z,,1,,,,,,,,"{'title': '<em>Tandoori</em> CSP-1105 | Benjamin Moore', 'sections': '<em>Tandoori</em>', 'color_name': '<em>Tandoori</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-1105&#x2F;<em>tandoori</em>'}",624734aa196a67b2ac896ca0,CSP-1105,Dark,Warm,A55527,Tandoori,,,Orange,,,,,,,,,,,,Tandoori,no,no,prose,story
1901,"['Fire Glow', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-1095/fire-glow,Fire Glow CSP-1095 | Benjamin Moore,Color,"Transport yourself to the stone hearth of a mountain chalet, and cozy up to the glowing fire.",ba5e97d7e2e5bbc2421cc3c8ad16a617749b8a57,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-031-fire-glow-CSP-1095-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-1095/fire-glow,2024-07-21T22:59:42Z,2024-07-21T22:59:42Z,,1,,,,,,,,"{'title': '<em>Fire</em> <em>Glow</em> CSP-1095 | Benjamin Moore', 'sections': '<em>Fire</em> <em>Glow</em>', 'description': 'Transport yourself to the stone hearth of a mountain chalet, and cozy up to the <em>glowing</em> <em>fire</em>.', 'color_name': '<em>Fire</em> <em>Glow</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-1095&#x2F;<em>fire</em>-<em>glow</em>'}",62431a5b28ccbc263fdd9d9f,CSP-1095,Medium,Warm,BD8057,Fire Glow,,,Orange,,,,,,,,,,,,Fire Glow,no,yes,poetry,poetry
1982,"['Face Powder', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-1085/face-powder,Face Powder CSP-1085 | Benjamin Moore,Color,"Delicate and soft, the exquisite powder in the Art Deco tin was a fond memory of her grandmother.",b40752b9f31035cdc0ae6b0eb281c9443f9ed588,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-031-face-powder-CSP-1085-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-1085/face-powder,2024-07-21T04:57:40Z,2024-07-21T04:57:39Z,,1,,,,,,,,"{'title': '<em>Face</em> <em>Powder</em> CSP-1085 | Benjamin Moore', 'sections': '<em>Face</em> <em>Powder</em>', 'description': 'Delicate and soft, the exquisite <em>powder</em> in the Art Deco tin was a fond memory of her grandmother.', 'color_name': '<em>Face</em> <em>Powder</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-1085&#x2F;<em>face</em>-<em>powder</em>'}",62473dd228ccbcc2e2ddb760,CSP-1085,Light,Warm,E9CAA6,Face Powder,Peach,,Orange,,,,,,,,,,,,Face Powder,no,no,prose,story
1983,"['Approaching Autumn', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-1090/approaching-autumn,Approaching Autumn CSP-1090 | Benjamin Moore,Color,"The setting sun cast its warm glow across the fields, promising that a bountiful harvest would not be far behind.",24c57ccd46a78a8af4e567e1addf8075de6fe393,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-031-approaching-autumn-CSP-1090-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-1090/approaching-autumn,2024-07-30T21:25:17Z,2024-07-03T14:03:47Z,True,1,,,,,,,,"{'title': '<em>Approaching</em> <em>Autumn</em> CSP-1090 | Benjamin Moore', 'sections': '<em>Approaching</em> <em>Autumn</em>', 'color_name': '<em>Approaching</em> <em>Autumn</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-1090&#x2F;<em>approaching</em>-<em>autumn</em>'}",63352af364441f39e2101588,CSP-1090,,,DAAE85,Approaching Autumn,,,,,Interior,Color Stories&reg;,Orange,Medium,,,,,,,Approaching Autumn,no,yes,prose,story
1990,"['Natural Leather', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-1065/natural-leather,Natural Leather CSP-1065 | Benjamin Moore,Color,Her knapsack was softened and well worn from the myriad of adventures it had seen across the Continent.,8fda90cf10a42fb692164c9766466a772cdd44d2,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-203-natural-leather-CSP-1065-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-1065/natural-leather,2024-07-21T15:27:52Z,2024-07-21T15:27:52Z,,1,,,,,,,,"{'title': '<em>Natural</em> <em>Leather</em> CSP-1065 | Benjamin Moore', 'sections': '<em>Natural</em> <em>Leather</em>', 'color_name': '<em>Natural</em> <em>Leather</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-1065&#x2F;<em>natural</em>-<em>leather</em>'}",624318bc28ccbc6347ddb9b0,CSP-1065,Medium,Warm,D6B28D,Natural Leather,Peach,,Orange,,,,,,,,,,,,Natural Leather,no,no,prose,story
2004,"['Café au Lait', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-290/cafe-au-lait,Café au Lait CSP-290 | Benjamin Moore,Color,"The perfect complement to a morning croissant, this rich, creamy coffee is deliciously indulgent. ",db409f12f63bc3e835347fd4db5019230341b5c1,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-183-cafe-au-lait-CSP-290-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-290/cafe-au-lait,2024-06-29T02:20:28Z,2024-06-29T02:20:28Z,,1,,,,,,,,{},624316d4196a677e6b8957be,CSP-290,Medium,Warm,A27F5D,Café au Lait,Yellow,,Neutral,,,,,,,,,,,,Café au Lait,no,no,prose,story
2019,"['Mexican Hot Chocolate', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-1080/mexican-hot-chocolate,Mexican Hot Chocolate CSP-1080 | Benjamin Moore,Color,Generations of mothers and grandmothers have gathered around large iron pots to hand-whisk the frothy drink.,8aa654c7f3ea0d48fddac27a71c667f276b17420,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-037-mexican-hot-chocolate-CSP-1080-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-1080/mexican-hot-chocolate,2024-07-31T02:10:26Z,2024-07-03T15:45:20Z,True,1,,,,,,,,"{'title': '<em>Mexican</em> <em>Hot</em> <em>Chocolate</em> CSP-1080 | Benjamin Moore', 'sections': '<em>Mexican</em> <em>Hot</em> <em>Chocolate</em>', 'color_name': '<em>Mexican</em> <em>Hot</em> <em>Chocolate</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-1080&#x2F;<em>mexican</em>-<em>hot</em>-<em>chocolate</em>'}",62431a4a196a67af6d896a17,CSP-1080,,,8B5C2B,Mexican Hot Chocolate,,,,,Interior,Color Stories&reg;,Orange,Dark,,,,,,,Mexican Hot Chocolate,no,no,prose,story
2148,"['Walk on the Beach®', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-975/walk-on-the-beach,Walk on the Beach CSP-975 | Benjamin Moore,Color,Feel the golden rays and the sand between your toes as you stroll along the shore at sunset.,fbe3164813f22484e4e17645af94aa47dab70fcc,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/yellow-paint-058-walk-on-the-beach-CSP-975-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-975/walk-on-the-beach,2024-07-21T20:12:05Z,2024-07-03T15:44:38Z,,1,,,,,,,,{},62431a40196a677e6b896167,CSP-975,Medium,Warm,D5B781,Walk on the Beach&reg;,Beige,,Yellow,,,,,,,,,,,,Walk on the Beach,no,yes,poetry,poetry
2207,"['Gilded Ballroom', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-980/gilded-ballroom,Gilded Ballroom CSP-980 | Benjamin Moore,Color,The brilliant silk-damasked walls seem to swirl with the orchestra's waltz. Care to join in the dance?,52572f51b77bb27692135f73594df431de988f88,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/yellow-paint-057-gilded-ballroom-CSP-980-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-980/gilded-ballroom,2024-07-30T15:47:56Z,2024-07-30T15:47:55Z,True,1,,,,,,,,"{'title': '<em>Gilded</em> <em>Ballroom</em> CSP-980 | Benjamin Moore', 'sections': '<em>Gilded</em> <em>Ballroom</em>', 'color_name': '<em>Gilded</em> <em>Ballroom</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-980&#x2F;<em>gilded</em>-<em>ballroom</em>'}",62430a2b64441f35cc00492d,CSP-980,,,BB9D61,Gilded Ballroom,,,,,Interior,Color Stories&reg;,Yellow,Medium,,,,,,,Gilded Ballroom,no,yes,poetry,poetry
2211,"['Melted Butter', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-905/melted-butter,Melted Butter CSP-905 | Benjamin Moore,Color,"Pure decadence - like the moment when all that sweet, creamy goodness just reaches the point of dissolving on the soft bread.",7c10bd2ac30e157b08216d9a577472dbec7655fb,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/yellow-paint-063-melted-butter-CSP-905-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-905/melted-butter,2024-07-30T23:03:52Z,2024-07-03T16:49:49Z,True,1,,,,,,,,"{'title': '<em>Melted</em> <em>Butter</em> CSP-905 | Benjamin Moore', 'sections': '<em>Melted</em> <em>Butter</em>', 'color_name': '<em>Melted</em> <em>Butter</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-905&#x2F;<em>melted</em>-<em>butter</em>'}",6242e87028ccbcaadfdda86d,CSP-905,,,F2E7BD,Melted Butter,,,,,Interior,Color Stories&reg;,Yellow,Light,,,,,,,Melted Butter,no,yes,poetry,poetry
2216,"['Ray of Light', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-910/ray-of-light,Ray of Light CSP-910 | Benjamin Moore,Color,"If every cloud has a silver lining, then this is the beam of radiant, yellow sun that's peeking out behind it.",8fc8c5cf19f6084c656526cd9676c0d2c7359699,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/yellow-paint-063-ray-of-light-CSP-910-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-910/ray-of-light,2024-07-31T02:09:20Z,2024-07-03T15:45:20Z,True,1,,,,,,,,"{'title': '<em>Ray</em> <em>of</em> <em>Light</em> CSP-910 | Benjamin Moore', 'sections': '<em>Ray</em> <em>of</em> <em>Light</em>', 'description': 'If every cloud has a silver lining, then this is the beam <em>of</em> radiant, yellow sun that&#x27;s peeking out behind it.', 'color_name': '<em>Ray</em> <em>of</em> <em>Light</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-910&#x2F;<em>ray</em>-<em>of</em>-<em>light</em>', 'Shade': '<em>Light</em>'}",62431ac764441f7d90006357,CSP-910,,,F0DFA5,Ray of Light,,,,,Interior,Color Stories&reg;,Yellow,Light,,,,,,,Ray of Light,no,yes,poetry,poetry
2248,"['Crisp Linen', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-305/crisp-linen,Crisp Linen CSP-305 | Benjamin Moore,Color,"Still damp from the clothesline, I ironed the fine Irish linen to a perfect, glossy smoothness. ",dec3359c5f38ba66ad9b3ea812e0abec5a252330,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-253-crisp-linen-CSP-305-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-305/crisp-linen,2024-07-21T22:59:43Z,2024-07-21T22:59:42Z,,1,,,,,,,,"{'title': '<em>Crisp</em> <em>Linen</em> CSP-305 | Benjamin Moore', 'sections': '<em>Crisp</em> <em>Linen</em>', 'description': 'Still damp from the clothesline, I ironed the fine Irish <em>linen</em> to a perfect, glossy smoothness.\xa0', 'color_name': '<em>Crisp</em> <em>Linen</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-305&#x2F;<em>crisp</em>-<em>linen</em>'}",62427311e7b9d2c21a0f502a,CSP-305,Light,Warm,F9F6E7,Crisp Linen,Cream,,White,,,,,,,,,,,,Crisp Linen,no,no,prose,story
2330,"['Handmade Paper', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-875/handmade-paper,Handmade Paper CSP-875 | Benjamin Moore,Color,"The sentimental letter was carefully scripted on delicately crafted paper, which unfolded its own story.",45d1ce9b7166ead93494ed7037116fa39674b3f6,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-068-handmade-paper-CSP-875-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-875/handmade-paper,2024-07-21T19:44:15Z,2024-07-21T19:44:15Z,,1,,,,,,,,"{'title': '<em>Handmade</em> <em>Paper</em> CSP-875 | Benjamin Moore', 'sections': '<em>Handmade</em> <em>Paper</em>', 'description': 'The sentimental letter was carefully scripted on delicately crafted <em>paper</em>, which unfolded its own story.', 'color_name': '<em>Handmade</em> <em>Paper</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-875&#x2F;<em>handmade</em>-<em>paper</em>'}",62431a9ae7b9d28afd0f61eb,CSP-875,Light,Warm,EDE9C9,Handmade Paper,Yellow,,,,,,,,,,,,,,Handmade Paper,no,no,prose,story
2331,"['Lime Sherbet', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-845/lime-sherbet,Lime Sherbet CSP-845 | Benjamin Moore,Color,"Refreshing and tart, the frozen scoop of tangy citrus was the perfect ending to their day at the beach.",0e1608b716d3d82bc59202a3121668ec4e016ef3,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-076-lime-sherbet-CSP-845-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-845/lime-sherbet,2024-07-21T20:12:51Z,2024-07-21T20:12:51Z,,1,,,,,,,,"{'title': '<em>Lime</em> <em>Sherbet</em> CSP-845 | Benjamin Moore', 'sections': '<em>Lime</em> <em>Sherbet</em>', 'color_name': '<em>Lime</em> <em>Sherbet</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-845&#x2F;<em>lime</em>-<em>sherbet</em>'}",6243174928ccbc3801ddb6d3,CSP-845,Light,Warm,E0DBA9,Lime Sherbet,Yellow,,,,,,,,,,,,,,Lime Sherbet,no,no,prose,story
2363,"['Limeade', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-865/limeade,Limeade CSP-865 | Benjamin Moore,Color,"Tart, fresh-squeezed and delightfully refreshing on a warm summer day.",024fb8226abf83703d2c9b888a75dce8e8504df4,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-075-limeade-CSP-865-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-865/limeade,2024-07-20T21:06:16Z,2024-07-20T21:06:15Z,,1,,,,,,,,"{'title': '<em>Limeade</em> CSP-865 | Benjamin Moore', 'sections': '<em>Limeade</em>', 'color_name': '<em>Limeade</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-865&#x2F;<em>limeade</em>'}",6247361c64441fd1290043b9,CSP-865,Medium,Warm,B0BD4D,Limeade,Yellow,,,,,,,,,,,,,,Limeade,no,no,prose,story
2382,"['Pistachio Ice Cream', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-815/pistachio-ice-cream,Pistachio Ice Cream CSP-815 | Benjamin Moore,Color,"Creamy and smooth, this was always Jane's favorite flavor at the little Italian gelato stand.",08043cc57b9ff7ed2d766cc553c9eb0c980d97e0,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-106-pistachio-ice-cream-CSP-815-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-815/pistachio-ice-cream,2024-07-30T14:45:37Z,2024-07-03T16:42:04Z,True,1,,,,,,,,"{'title': '<em>Pistachio</em> <em>Ice</em> <em>Cream</em> CSP-815 | Benjamin Moore', 'sections': '<em>Pistachio</em> <em>Ice</em> <em>Cream</em>', 'description': '<em>Creamy</em> and smooth, this was always Jane&#x27;s favorite flavor at the little Italian gelato stand.', 'color_name': '<em>Pistachio</em> <em>Ice</em> <em>Cream</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-815&#x2F;<em>pistachio</em>-<em>ice</em>-<em>cream</em>'}",62430f3328ccbc25e6ddb909,CSP-815,,,DAD9BC,Pistachio Ice Cream,,,,,Interior,Color Stories&reg;,Green,Light,,,,,,,Pistachio Ice Cream,no,no,prose,story
2483,"['Barefoot in the Grass', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-840/barefoot-in-the-grass,Barefoot in the Grass CSP-840 | Benjamin Moore,Color,Careless laughter and childhood giggles abound. Remember the delightful freedom of running through the green grass in your bare feet?,2a0795f92784ae16925fc0c10ccfc805e1333692,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-096-barefoot-in-the-grass-CSP-840-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-840/barefoot-in-the-grass,2024-07-22T02:19:04Z,2024-07-22T02:19:04Z,,1,,,,,,,,"{'title': '<em>Barefoot</em> <em>in</em> <em>the</em> <em>Grass</em> CSP-840 | Benjamin Moore', 'sections': '<em>Barefoot</em> <em>in</em> <em>the</em> <em>Grass</em>', 'description': 'Careless laughter and childhood giggles abound. Remember <em>the</em> delightful freedom of running through <em>the</em> green <em>grass</em> <em>in</em> your bare feet?', 'color_name': '<em>Barefoot</em> <em>in</em> <em>the</em> <em>Grass</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-840&#x2F;<em>barefoot</em>-<em>in</em>-<em>the</em>-<em>grass</em>'}",62431a8f28ccbc6347ddbeaa,CSP-840,Medium,Warm,9BA375,Barefoot in the Grass,Yellow,,,,,,,,,,,,,,Barefoot in the Grass,no,yes,poetry,poetry
2497,"['Estate Sale', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-795/estate-sale,Estate Sale CSP-795 | Benjamin Moore,Color,"The spring lawn was filled with treasures waiting for new homes, where they would create new stories and traditions.",d20fd9d1c98e91daca7abd74e5ac03c5949c0947,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-101-estate-sale-CSP-795-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-795/estate-sale,2024-07-30T21:52:16Z,2024-07-03T16:41:20Z,True,1,,,,,,,,"{'title': '<em>Estate</em> <em>Sale</em> CSP-795 | Benjamin Moore', 'sections': '<em>Estate</em> <em>Sale</em>', 'color_name': '<em>Estate</em> <em>Sale</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-795&#x2F;<em>estate</em>-<em>sale</em>'}",6243159764441fa24800400b,CSP-795,,,ACAE92,Estate Sale,,,,,Interior,Color Stories&reg;,Green,Medium,,,,,,,Estate Sale,no,yes,prose,story
2504,"['Sagebrush', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-770/sagebrush,Sagebrush CSP-770 | Benjamin Moore,Color,"Wind whips through the New Mexican desert, displacing sand and rock, yet the hardy shrubs stand their ground.",dd1c5d116d0db1fa640854792bfc7255f2b80b55,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-084-sagebrush-CSP-770-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-770/sagebrush,2024-07-22T02:55:26Z,2024-07-03T16:42:53Z,,1,,,,,,,,"{'title': '<em>Sagebrush</em> CSP-770 | Benjamin Moore', 'sections': '<em>Sagebrush</em>', 'color_name': '<em>Sagebrush</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-770&#x2F;<em>sagebrush</em>'}",62430f13196a6790d1896a3d,CSP-770,Medium,Cool,C2C8B8,Sagebrush,Gray,,,,,,,,,,,,,,Sagebrush,no,yes,poetry,story
2518,"['Secret Path', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-800/secret-path,Secret Path CSP-800 | Benjamin Moore,Color,"Follow this hidden trail to wherever it lead all the while immersing yourself in rich, luscious greenery.",98f8309f9e447136206dfa0ab33a4ebeb57243ad,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-104-secret-path-CSP-800-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-800/secret-path,2024-07-31T00:29:26Z,2024-07-31T00:29:26Z,True,1,,,,,,,,"{'title': '<em>Secret</em> <em>Path</em> CSP-800 | Benjamin Moore', 'sections': '<em>Secret</em> <em>Path</em>', 'color_name': '<em>Secret</em> <em>Path</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-800&#x2F;<em>secret</em>-<em>path</em>'}",6243156d64441f3b53005a7e,CSP-800,,,87917A,Secret Path,,,,,Interior,Color Stories&reg;,Green,Medium,,,,,,,Secret Path,no,yes,poetry,poetry
2519,"['Chimichurri', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-810/chimichurri,Chimichurri CSP-810 | Benjamin Moore,Color,"A tangy blend of aromas, captured at their most fragrant, spices things up with a bold, fresh bite.",a40c0761e96157a0addbae52493ec22e65895762,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-104-chimichurri-CSP-810-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-810/chimichurri,2024-07-21T19:34:16Z,2024-07-21T19:34:16Z,,1,,,,,,,,"{'title': '<em>Chimichurri</em> CSP-810 | Benjamin Moore', 'sections': '<em>Chimichurri</em>', 'color_name': '<em>Chimichurri</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-810&#x2F;<em>chimichurri</em>'}",62430fb728ccbcbba0ddb14e,CSP-810,Dark,Warm,485241,Chimichurri,Yellow,,,,,,,,,,,,,,Chimichurri,no,yes,poetry,poetry
2540,"[""Summer's Day"", 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-780/summers-day,Summer's Day CSP-780 | Benjamin Moore,Color,"Enjoy a skip through the luscious green meadow, full of summer warmth and joy.",fb342743497e962a0bb6a94ba948038d052f9639,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-084-summers-day-CSP-780-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-780/summers-day,2024-07-30T17:45:23Z,2024-07-03T14:03:45Z,True,1,,,,,,,,"{'title': '<em>Summer&#x27;s</em> <em>Day</em> CSP-780 | Benjamin Moore', 'sections': '<em>Summer&#x27;s</em> <em>Day</em>', 'color_name': '<em>Summer&#x27;s</em> <em>Day</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-780&#x2F;summers-<em>day</em>'}",62430df528ccbc587addbf10,CSP-780,,,8A9E88,Summer's Day,,,,,Interior,Color Stories&reg;,Green,Medium,,,,,,,Summer's Day,no,yes,poetry,poetry
2667,"['Antique Glass', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-695/antique-glass,Antique Glass CSP-695 | Benjamin Moore,Color,"The tall bottle sat in the windowsill for decades, each day casting light across the kitchen table.",2d90b0c2985806cff898a35cc63c35c901fc7972,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-126-antique-glass-CSP-695-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-695/antique-glass,2024-07-20T15:06:05Z,2024-07-20T15:06:04Z,,1,,,,,,,,"{'title': '<em>Antique</em> <em>Glass</em> CSP-695 | Benjamin Moore', 'sections': '<em>Antique</em> <em>Glass</em>', 'color_name': '<em>Antique</em> <em>Glass</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-695&#x2F;<em>antique</em>-<em>glass</em>'}",6247389d64441fe584003a76,CSP-695,Medium,Cool,A7C7BC,Antique Glass,,,,,,,,,,,,,,,Antique Glass,no,no,prose,story
2684,"['Sylvan Mist', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-740/sylvan-mist,Sylvan Mist CSP-740 | Benjamin Moore,Color,"Illuminated by early sunlight, a cool, gossamer morning mist slowly rolls across the still lake.",054904eb35eb581ee9eabb545932d78370903b98,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-128-sylvan-mist-CSP-740-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-740/sylvan-mist,2024-07-21T20:35:35Z,2024-07-21T20:35:34Z,,1,,,,,,,,"{'title': '<em>Sylvan</em> <em>Mist</em> CSP-740 | Benjamin Moore', 'sections': '<em>Sylvan</em> <em>Mist</em>', 'description': 'Illuminated by early sunlight, a cool, gossamer morning <em>mist</em> slowly rolls across the still lake.', 'color_name': '<em>Sylvan</em> <em>Mist</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-740&#x2F;<em>sylvan</em>-<em>mist</em>'}",6242766e28ccbc4327ddb3d4,CSP-740,Medium,Cool,B7C6BE,Sylvan Mist,,,,,,,,,,,,,,,Sylvan Mist,no,yes,poetry,poetry
